"Time Window","SYN Rate","SYN Percentage","Port Spread","ACK Response Rate","Source Diversity","Scan Intensity","Risk Assessment","Scan Archetype","Suggested Action","Explanation"
"very-short","very low","minimal","several","no response","centralized","Low","low","classic","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","several","no response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","minimal","several","minimal response","centralized","Low","low","classic","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","several","minimal response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","minimal","several","partial response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","several","partial response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","minimal","several","widespread response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","several","widespread response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","minimal","several","broad response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","several","broad response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","minimal","several","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","minimal","several","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","low","one","no response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","one","minimal response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","one","partial response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","one","widespread response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","one","broad response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","one","complete response","centralized","None","none","likely benign","Monitor only","Low scanning activity; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","low","a few","no response","centralized","Low","low","classic","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","a few","no response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","low","a few","minimal response","centralized","Low","low","classic","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","a few","minimal response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","low","a few","partial response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","a few","partial response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","low","a few","widespread response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","a few","widespread response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","low","a few","broad response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","a few","broad response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","low","a few","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","low","a few","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","low","several","no response","centralized","Low","low","classic","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","several","no response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","low","several","minimal response","centralized","Low","low","classic","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","several","minimal response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","low","several","partial response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","several","partial response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","low","several","widespread response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","several","widespread response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","low","several","broad response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","low","several","broad response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","low","several","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","low","several","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","moderate","one","no response","centralized","None","none","ambiguous","Monitor only","Low scanning activity; single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","one","minimal response","centralized","None","none","ambiguous","Monitor only","Low scanning activity; single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","one","partial response","centralized","None","none","ambiguous","Monitor only","Low scanning activity; single/few sources; over very-short timeframe"
"very-short","very low","moderate","one","widespread response","centralized","None","none","ambiguous","Monitor only","Low scanning activity; single/few sources; over very-short timeframe"
"very-short","very low","moderate","one","broad response","centralized","None","none","ambiguous","Monitor only","Low scanning activity; single/few sources; over very-short timeframe"
"very-short","very low","moderate","one","complete response","centralized","None","none","likely benign","Monitor only","Low scanning activity; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","moderate","a few","no response","centralized","Low","low","ambiguous","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","a few","no response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","a few","minimal response","centralized","Low","low","ambiguous","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","a few","minimal response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","a few","partial response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","very low","moderate","a few","partial response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","moderate","a few","widespread response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","very low","moderate","a few","widespread response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","moderate","a few","broad response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","very low","moderate","a few","broad response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","moderate","a few","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","moderate","a few","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","moderate","several","no response","centralized","Low","low","ambiguous","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","several","no response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","several","minimal response","centralized","Low","low","ambiguous","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","several","minimal response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","moderate","several","partial response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","very low","moderate","several","partial response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","moderate","several","widespread response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","very low","moderate","several","widespread response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","moderate","several","broad response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","very low","moderate","several","broad response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","moderate","several","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","moderate","several","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","minimal","one","no response","centralized","Low","low","obfuscated","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","one","minimal response","centralized","Low","low","obfuscated","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","one","partial response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","minimal","one","widespread response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","minimal","one","broad response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","minimal","one","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","minimal","a few","no response","centralized","Low","low","obfuscated","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","a few","no response","moderately distributed","Low","low","obfuscated","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","a few","no response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","a few","minimal response","centralized","Low","low","obfuscated","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","a few","minimal response","moderately distributed","Low","low","obfuscated","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","a few","minimal response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","a few","partial response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","minimal","a few","partial response","moderately distributed","Low","low","obfuscated","Monitor only","over very-short timeframe"
"very-short","low","minimal","a few","partial response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","a few","widespread response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","minimal","a few","widespread response","moderately distributed","Low","low","obfuscated","Monitor only","over very-short timeframe"
"very-short","low","minimal","a few","widespread response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","a few","broad response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","minimal","a few","broad response","moderately distributed","Low","low","obfuscated","Monitor only","over very-short timeframe"
"very-short","low","minimal","a few","broad response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","a few","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","minimal","a few","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","minimal","a few","complete response","highly distributed","Low","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","minimal","several","no response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","several","no response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","several","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","several","minimal response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","several","minimal response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","low","minimal","several","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","several","partial response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","minimal","several","partial response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","over very-short timeframe"
"very-short","low","minimal","several","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","several","widespread response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","minimal","several","widespread response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","over very-short timeframe"
"very-short","low","minimal","several","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","several","broad response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","minimal","several","broad response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","over very-short timeframe"
"very-short","low","minimal","several","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","minimal","several","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","minimal","several","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","minimal","several","complete response","highly distributed","Moderate","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","low","one","no response","centralized","Low","low","obfuscated","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","low","one","minimal response","centralized","Low","low","obfuscated","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","low","one","partial response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","low","one","widespread response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","low","one","broad response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","low","one","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","low","a few","no response","centralized","Low","low","obfuscated","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","low","a few","no response","moderately distributed","Low","low","obfuscated","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","low","low","a few","no response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","low","a few","minimal response","centralized","Low","low","obfuscated","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","low","a few","minimal response","moderately distributed","Low","low","obfuscated","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","low","low","a few","minimal response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","low","a few","partial response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","low","a few","partial response","moderately distributed","Low","low","obfuscated","Monitor only","over very-short timeframe"
"very-short","low","low","a few","partial response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","low","a few","widespread response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","low","a few","widespread response","moderately distributed","Low","low","obfuscated","Monitor only","over very-short timeframe"
"very-short","low","low","a few","widespread response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","low","a few","broad response","centralized","Low","low","obfuscated","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","low","a few","broad response","moderately distributed","Low","low","obfuscated","Monitor only","over very-short timeframe"
"very-short","low","low","a few","broad response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","low","a few","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","low","a few","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","low","a few","complete response","highly distributed","Low","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","low","several","no response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","low","several","no response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","low","low","several","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","low","several","minimal response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","low","several","minimal response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","low","low","several","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","low","several","partial response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","low","several","partial response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","over very-short timeframe"
"very-short","low","low","several","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","low","several","widespread response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","low","several","widespread response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","over very-short timeframe"
"very-short","low","low","several","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","low","several","broad response","centralized","Moderate","moderate","obfuscated","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","low","several","broad response","moderately distributed","Moderate","moderate","obfuscated","Alert SOC","over very-short timeframe"
"very-short","low","low","several","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","low","several","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","low","several","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","low","several","complete response","highly distributed","Moderate","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","moderate","one","no response","centralized","Low","low","ambiguous","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","one","minimal response","centralized","Low","low","ambiguous","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","one","partial response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","moderate","one","widespread response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","moderate","one","broad response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","moderate","one","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","moderate","a few","no response","centralized","Low","low","ambiguous","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","a few","no response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","a few","no response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","a few","minimal response","centralized","Low","low","ambiguous","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","a few","minimal response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","a few","minimal response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","a few","partial response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","moderate","a few","partial response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","low","moderate","a few","partial response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","a few","widespread response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","moderate","a few","widespread response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","low","moderate","a few","widespread response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","a few","broad response","centralized","Low","low","ambiguous","Monitor only","single/few sources; over very-short timeframe"
"very-short","low","moderate","a few","broad response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","low","moderate","a few","broad response","highly distributed","Low","elevated","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","a few","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","moderate","a few","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","moderate","a few","complete response","highly distributed","Low","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","low","moderate","several","no response","centralized","Moderate","moderate","ambiguous","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","several","no response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","several","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","several","minimal response","centralized","Moderate","moderate","ambiguous","Alert SOC","single/few sources; minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","several","minimal response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","minimal ACK responses; over very-short timeframe"
"very-short","low","moderate","several","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","several","partial response","centralized","Moderate","moderate","ambiguous","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","moderate","several","partial response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
"very-short","low","moderate","several","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","several","widespread response","centralized","Moderate","moderate","ambiguous","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","moderate","several","widespread response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
"very-short","low","moderate","several","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; over very-short timeframe; = distributed scanning"
"very-short","low","moderate","several","broad response","centralized","Moderate","moderate","ambiguous","Alert SOC","single/few sources; over very-short timeframe"
"very-short","low","moderate","several","broad response","moderately distributed","Moderate","moderate","ambiguous","Alert SOC","over very-short timeframe"
